record	parliament_year	estate	annotation	most_probable_line	lev	wer	cer
data/1863-1864/ptk_1863-1864_talonpojat_II.xml	1863-1864	talonpojat	Edusmies Warpenius lausui että, jos toisiaanki toiwottiin	 Gdusmies Varvenius laufui että, jos toiftaanki toivottiin	7	0.7142857313156128	0.1228070175438596
data/1863-1864/ptk_1863-1864_talonpojat_II.xml	1863-1864	talonpojat	puhuja pitäwänsä selwittää että nimellä „kihlakunta“ la'issa ym=	" puhuja pitämänjä fehwittää että nimellä kihlakunta"" lo'isja ymmä"	10	0.625	0.15625
data/1863-1864/ptk_1863-1864_talonpojat_II.xml	1863-1864	talonpojat	Edusmies Mynttinen hywäksyi kohdan.	 Ebusmies Mynttinen hyväkjyi kohdan.	3	0.5	0.0857142857142857
data/1867/prot_1867_adeln_III.xml	1867	adeln	hvarest afvikelser från det nu gällande föreslagits.	 hvarest afvikelser från det nu gällande föreslagits.	0	0.0	0.0
data/1867/prot_1867_adeln_III.xml	1867	adeln	allt som kunde få benämning af nyare tidens principer i ämnet.	 allt som kunde få benämning af nyare tidens principer i ämnet.	0	0.0	0.0
data/1867/prot_1867_adeln_III.xml	1867	adeln	Emellertid kan jag icke undertrycka ett beklagande af att	 Emellertid kan jag icke undertrycka ett beklagande af att	0	0.0	0.0
data/1867/prot_1867_adeln_III.xml	1867	adeln	exakt det belopp, som blifvit utanordnadt till folkskolors under-	 exakt det belopp, som blifvit utanordnadt till folkskolors underh	1	0.1111111119389534	0.0153846153846153
data/1867/prot_1867_adeln_III.xml	1867	adeln	tet uppgifvit, men icke ett erkännande deraf att icke folksko-	ttet uppgifvit, men icke ett erkännande deraf att icke folkskol	2	0.2000000029802322	0.032258064516129
data/1867/prot_1867_adeln_III.xml	1867	adeln	år 1865, ehuru de blifvit utreqvirerade först år 1866. På samma	 år 1865, ehuru de blifvit utregvirerade först år 1866. På samma	1	0.0909090936183929	0.0158730158730158
data/1867/prot_1867_adeln_II.xml	1867	adeln	ring eller förstöring af de i kyrkor eller andra allmänna bygg-	gring eller förstöring af de i kyrkor eller andra allmänna byggn	2	0.1818181872367859	0.0317460317460317
data/1867/prot_1867_adeln_II.xml	1867	adeln	färdad, äfvensom att H. K. Majestät i öfrigt måtte vidtaga de	färdad, äfvensom att H. K. Majestät i öfrigt måtte vidtaga de 	0	0.0	0.0
data/1867/prot_1867_adeln_II.xml	1867	adeln	afseende för ändamålet befinnes nödig, till dessa i ämnet aflåta	 afseende för ändamälet befinnes nödig, till dessa i ämnet afläta	2	0.2000000029802322	0.03125
data/1867/prot_1867_borgare_II.xml	1867	borgare	sition beslöts att § 4 i ifrågavarande kap. såsom innehållande	sition beslöts att $ 4 i ifrågavarande kap. såsom innehållande 	1	0.1000000014901161	0.0161290322580645
data/1867/prot_1867_borgare_II.xml	1867	borgare	Då borgareståndet i dag till åtgärd förehaft Lagutskottets	 Då borgareständet i dag till åtgärd förehaft Lagutskottets	1	0.125	0.0172413793103448
data/1867/prot_1867_borgare_II.xml	1867	borgare	klockan tolf,“ i 15 § 25 kap. „sist på den trettionde dagen före	" klockan tolf* i 15 & 25 kap. ""sist pä den trettionde dagen före "	5	0.3076923191547394	0.078125
data/1867/prot_1867_borgare_I.xml	1867	borgare	genom i tid vidtagna åtgärder, söka att förekomma alltför stora	 genom i tid vidtagna åtgärder, söka att förekomma alltför stora	0	0.0	0.0
data/1867/prot_1867_borgare_I.xml	1867	borgare	som lemnar medel att bibehålla landets konsumtion på dess när-	 som lemnar medel att bibehålla landets konsumtion på dess närv	1	0.1000000014901161	0.0161290322580645
