file,language,orthography
valtiopaivat-records/data/1872/prot_1872_praster_III.xml,s,r
valtiopaivat-records/data/1872/prot_1872_praster_II.xml,s,r
valtiopaivat-records/data/1872/prot_1872_praster_I.xml,s,r
valtiopaivat-records/data/1872/ptk_1872_talonpojat_II.xml,f,r
valtiopaivat-records/data/1872/ptk_1872_talonpojat_I.xml,f,r
valtiopaivat-records/data/1877-1878/prot_1877-1878_borgare_III.xml,s,r
valtiopaivat-records/data/1877-1878/prot_1877-1878_borgare_II.xml,s,r
valtiopaivat-records/data/1877-1878/prot_1877-1878_borgare_I.xml,s,r
valtiopaivat-records/data/1877-1878/prot_1877-1878_borgare_IV.xml,s,r
valtiopaivat-records/data/1877-1878/prot_1877-1878_borgare_V.xml,s,r
valtiopaivat-records/data/1877-1878/prot_1877-1878_praster_III.xml,s,r
valtiopaivat-records/data/1877-1878/prot_1877-1878_praster_II.xml,s,r
valtiopaivat-records/data/1877-1878/prot_1877-1878_praster_I.xml,s,r
valtiopaivat-records/data/1877-1878/prot_1877-1878_praster_IV.xml,s,r
valtiopaivat-records/data/1877-1878/prot_1877-1878_praster_V.xml,s,r
valtiopaivat-records/data/1877-1878/ptk_1877-1878_talonpojat_III.xml,f,r
valtiopaivat-records/data/1877-1878/ptk_1877-1878_talonpojat_II.xml,f,r
valtiopaivat-records/data/1877-1878/ptk_1877-1878_talonpojat_I.xml,f,r
